Date,Flow
2100-01-01,0.0
2100-01-02,0.0
2100-01-03,0.0
2100-01-04,0.0
2100-01-05,1.26890678374
2100-01-06,95.9279727777
2100-01-07,213.985027213
2100-01-08,188.077124055
2100-01-09,113.615182749
2100-01-10,75.9833277656
2100-01-11,53.8333294986
2100-01-12,42.4087210641
2100-01-13,35.5633914833
2100-01-14,48.0916038805
2100-01-15,68.3386992068
2100-01-16,140.294134552
2100-01-17,264.993769139
2100-01-18,327.063604974
2100-01-19,302.996332005
2100-01-20,229.004023992
2100-01-21,157.649689903
2100-01-22,114.70338041
2100-01-23,88.4838874801
2100-01-24,104.738303829
2100-01-25,134.725627937
2100-01-26,117.521022251
2100-01-27,103.010473981
2100-01-28,107.215618632
2100-01-29,155.167702668
2100-01-30,252.857530445
2100-01-31,278.362666952
2100-02-01,222.864760106
2100-02-02,181.57114138
2100-02-03,184.086930442
2100-02-04,182.450784607
2100-02-05,147.270217844
2100-02-06,111.331306114
2100-02-07,90.3441299745
2100-02-08,76.7573252218
2100-02-09,67.4913719734
2100-02-10,124.108668698
2100-02-11,209.489009312
2100-02-12,216.428219276
2100-02-13,179.275501282
2100-02-14,167.57484508
2100-02-15,170.720418649
2100-02-16,161.620437534
2100-02-17,172.442584622
2100-02-18,177.021452382
2100-02-19,143.607945287
2100-02-20,108.878019142
2100-02-21,88.6900440823
2100-02-22,90.7892312362
2100-02-23,111.897731476
2100-02-24,141.715678661
2100-02-25,186.346408765
2100-02-26,214.902054769
2100-02-27,204.015659472
2100-02-28,170.607503525
2100-03-01,151.568660846
2100-03-02,155.35959783
2100-03-03,148.637304806
2100-03-04,126.246780792
2100-03-05,101.971108313
2100-03-06,83.4749606189
2100-03-07,130.76074996
2100-03-08,199.988225781
2100-03-09,181.449938518
2100-03-10,129.641934002
2100-03-11,160.985836639
2100-03-12,254.325293286
2100-03-13,305.314392966
2100-03-14,298.053549641
2100-03-15,263.944577307
2100-03-16,233.334702125
2100-03-17,210.240147753
2100-03-18,179.346424329
2100-03-19,142.537545692
2100-03-20,113.900788429
2100-03-21,97.8537034657
2100-03-22,112.712812696
2100-03-23,137.793189714
2100-03-24,147.203361417
2100-03-25,178.105659059
2100-03-26,196.072253384
2100-03-27,196.101459074
2100-03-28,239.741657548
2100-03-29,309.182824271
2100-03-30,355.069887765
2100-03-31,343.875166477
2100-04-01,281.915748262
2100-04-02,210.925627001
2100-04-03,160.264796262
2100-04-04,129.42319763
2100-04-05,109.348802827
2100-04-06,114.538597882
2100-04-07,123.728380769
2100-04-08,106.261010515
2100-04-09,87.0561820664
2100-04-10,77.5468371579
2100-04-11,71.011392622
2100-04-12,65.9376586653
2100-04-13,61.7528236179
2100-04-14,58.410301631
2100-04-15,55.8125767837
2100-04-16,53.3264753406
2100-04-17,50.82710797
2100-04-18,48.5198890201
2100-04-19,46.2197790605
2100-04-20,43.9305579584
2100-04-21,41.7698557919
2100-04-22,39.7222385654
2100-04-23,37.7788059968
2100-04-24,35.9327167604
2100-04-25,34.1782186468
2100-04-26,32.510253826
2100-04-27,30.9242491849
2100-04-28,29.5903181826
2100-04-29,28.4755825886
2100-04-30,27.2343192178
2100-05-01,25.898744768
